par_cz,par_czname,par_state,par_stateabbrv,kid_count,inventor,inventor_cat_1,inventor_cat_2,inventor_cat_3,inventor_cat_4,inventor_cat_5,inventor_cat_6,inventor_cat_7,kid_count_g_m,inventor_g_m,inventor_cat_1_g_m,inventor_cat_2_g_m,inventor_cat_3_g_m,inventor_cat_4_g_m,inventor_cat_5_g_m,inventor_cat_6_g_m,inventor_cat_7_g_m,kid_count_g_f,inventor_g_f,inventor_cat_1_g_f,inventor_cat_2_g_f,inventor_cat_3_g_f,inventor_cat_4_g_f,inventor_cat_5_g_f,inventor_cat_6_g_f,inventor_cat_7_g_f
4903,Lexington,Tennessee,TN,2497,0.0004005,0,0,0,0.0004005,0,0,0,1254,0.0007974,0,0,0,0.0007974,0,0,0,1243,0,0,0,0,0,0,0,0
5000,Tupelo,Mississippi,MS,13979,0.0004292,0,0,0.0000715,0.0000715,0.0001431,0.0001431,0,7064,0.0005663,0,0,0,0,0.0002831,0.0002831,0,6914,0.0002893,0,0,0.0001446,0.0001446,0,0,0
5100,Corinth,Mississippi,MS,6931,0.0007214,0.0001443,0.0001443,0,0,0.0001443,0.0002886,0,3571,0.0014002,0.00028,0.00028,0,0,0.00028,0.0005601,0,3360,0,0,0,0,0,0,0,0
5201,New Albany,Mississippi,MS,3272,0.0003056,0,0,0,0,0,0.0003056,0,1621,0.0006169,0,0,0,0,0,0.0006169,0,1651,0,0,0,0,0,0,0,0
5202,Memphis,Tennessee,TN,75314,0.0011817,0.0001195,0.0002523,0.0003452,0.0001062,0.0001062,0.0001461,0.0001062,37887,0.0019796,0.0002112,0.0004487,0.0005543,0.0001584,0.0001848,0.0002639,0.0001584,37424,0.0003741,0.0000267,0.0000534,0.0001336,0.0000534,0.0000267,0.0000267,0.0000534
5300,West Memphis,Arkansas,AR,10016,0.0004992,0,0,0.0000998,0.0000998,0,0.0002995,0,5025,0.000398,0,0,0,0.000199,0,0.000199,0,4991,0.0006011,0,0,0.0002004,0,0,0.0004007,0
5401,Bowling Green,Kentucky,KY,9211,0.00076,0,0.0002171,0.0002171,0,0.0002171,0,0.0001086,4648,0.0008606,0,0,0.0002151,0,0.0004303,0,0.0002151,4563,0.0006575,0,0.0004383,0.0002192,0,0,0,0
5402,Glasgow,Kentucky,KY,4930,0.0002028,0.0002028,0,0,0,0,0,0,2487,0,0,0,0,0,0,0,0,2442,0.0004095,0.0004095,0,0,0,0,0,0
5500,Columbia,Tennessee,TN,10297,0.0006798,0.0001942,0.0001942,0,0.0000971,0,0.0000971,0.0000971,5253,0.0013326,0.0003807,0.0003807,0,0.0001904,0,0.0001904,0.0001904,5043,0,0,0,0,0,0,0,0
5600,Nashville,Tennessee,TN,69279,0.0014579,0.0001588,0.0004042,0.0002743,0.0001732,0.0001299,0.0001588,0.0001588,34903,0.002378,0.0002579,0.0007736,0.0003152,0.0003152,0.0002006,0.0002579,0.0002579,34373,0.0005237,0.0000582,0.0000291,0.0002327,0.0000291,0.0000582,0.0000582,0.0000582
